individual_id,ibs_remain,auprc
77,0.023627635322086095,0.7106035013397447
78,0.0005617542305063792,0.7496049920343612
79,0.003319408971670826,0.7303205819626504
80,0.000679626520796346,0.8010455384236385
81,0.0042026085657192475,0.793194383722436
82,0.0005674817457600445,0.8614732768887807
83,0.012979633171275448,0.6733403056092704
84,0.005355726393865225,0.8256090835370214
85,0.010466042564621594,0.764164348404637
86,0.07435950112086442,0.608113281168672
87,0.0004608155870209701,0.8477146599073977
88,0.011416354177037133,0.6989835320482115
89,3.797608161743606e-07,0.9992498514563326
90,0.019202638936872282,0.8897791617852685
91,0.00036503512989543457,0.9301270650550966
92,0.006612463260437,0.8445500012188343
93,0.0007820720460261425,0.8705748520336876
94,0.01634431381998286,0.8305312815089819
95,0.0,0.7317894135280443
96,0.00026651925239681585,0.9350253843265102
97,0.033082319626122986,0.7781963971166102
98,0.0008754312512923299,0.8143885182469598
99,0.025950277557369724,0.7791052344144089
100,0.0023908449268071567,0.6086397803389639
101,0.0007584956622710894,0.768819435628191
102,0.00469236842925108,0.7279706268909418
103,2.2860114653811596e-05,0.9906666570887601
104,0.004796065700966445,0.9135879738253949
105,0.0,0.8017324541348892
106,0.0004478917352526191,0.8653661457988352
107,0.003940541072962235,0.7877535968094103
108,0.0006128338347800669,0.7948426991843888
109,0.0053879374119238325,0.8129572755949522
110,0.008014381379713834,0.7672112738938941
111,0.00038234957226987687,0.783672388799547
112,0.02741931783003892,0.719908350494171
113,0.009902207062951337,0.7621299788477611
114,0.042493646896948165,0.6634995451700704
115,0.0003595977547503406,0.9339149021855714
116,0.02018644068042824,0.7056040276450766
117,0.003419328230426897,0.9015433580782611
118,0.008296248144474017,0.8822422602332213
119,0.0006065640664971515,0.8070887036066747
120,0.0061254972287654195,0.7291426535011784
121,0.0001872524426712552,0.9774941517649162
122,0.0011532399291066598,0.9521520827088807
123,0.01147743922797204,0.8892124974893578
124,0.0012616820158183534,0.7876632409939199
125,0.007424342054417269,0.6794789053313874
126,0.0036901855667715237,0.8003759574713679
127,0.0038762771628702616,0.37518562986155546
128,0.00015016589360187024,0.9687784561604104
129,0.01624863222784569,0.8673975167694865
130,0.0023477822903175973,0.7176039574596802
131,0.04752596848568422,0.6512436865711969
132,0.0012746152197474084,0.8544210283753157
133,0.015943114472271768,0.6346833559165909
134,0.0026738609035882447,0.6160850426161677
135,3.8873912448348586e-05,0.9873197043648906
136,0.013430605620583437,0.8462779510756008
137,0.0037923705429763104,0.9253686366967662
138,0.011983429819638087,0.900450656830601
139,0.0037617649224281503,0.7594885062588762
140,0.012734254497085052,0.7528433692845317
141,0.00029950191738686567,0.9444126216527178
142,0.019676179651886776,0.7219580468377848
143,0.004889958798975016,0.8893457890061992
144,8.664373961431944e-06,0.9964346887473811
145,0.028394605183455855,0.858559397748735
146,0.0009793996329546801,0.8218220075585665
147,0.0035897957737546123,0.8217893090926216
148,0.010712301096250345,0.7679845807283909
149,0.0007509261730686427,0.8236544146466294
150,0.03252215780223794,0.7596345555392297
151,0.0035323849741533834,0.7549470529253661
152,3.2771032947382705e-05,0.9857504197774464
153,0.008148400767778327,0.8729813527556052
154,6.59391511265478e-05,0.7666743172858586
155,0.00010135839937598015,0.9762679373944527
156,0.006050821112629114,0.8760178185738992
157,0.00031302680002977127,0.7655260533908519
158,0.003254968673079766,0.7419179790873012
159,0.0003912715726212946,0.9179541663850178
160,6.489587781038187e-05,0.9899056040993615
161,0.00584088558999449,0.917242964961301
162,5.882085676140609e-05,0.9798483500397902
163,0.009074708873633491,0.877858863711222
164,0.018353652871180633,0.8856887251218772
165,0.031921278717265,0.6845413799758949
166,0.0009361999890423073,0.778500599825078
167,9.861811676801057e-05,0.9744602841251494
168,0.00021151602166086733,0.9831077711012703
169,0.011143222153830191,0.9154147716997474
170,0.0005533627114799028,0.8767254568861647
171,0.007382618973579963,0.8562992000599812
172,0.01627390884215362,0.7472475252659824
173,4.389022630572729e-05,0.9813190018184728
174,0.007385103844745028,0.8857746328834383
175,0.0006716652811116739,0.8778914593431286
176,0.014658493322956379,0.8315620103018664
177,0.0008668266301257253,0.8441260170031445
178,0.012748158066882648,0.6500341972508936
179,0.002090021204887184,0.6506447241763428
180,0.0001256574625028949,0.7969646792471683
181,0.028842869621913694,0.6964388684581896
182,0.0007750436728122278,0.8228087339639107
183,0.017958009950295697,0.8031947291859037
184,0.0033881392712232596,0.7428557828675733
185,0.0,0.704359557254041
186,0.03448568937516448,0.6578643583531222
187,0.0005082974539021124,0.7522587745930588
188,0.008913687678448405,0.7922017597472263
189,0.012554725762140768,0.754680894520388
190,0.0021014281988971854,0.5267528452633092
191,0.0008518770036736214,0.8490531377096797
192,0.02473972228175087,0.7695803344466144
193,0.0027584159465574736,0.6608065516704307
194,0.012369006750591601,0.7555612515428671
195,0.09821457785547243,0.5790767118902217
196,0.005361750754547835,0.7738576783112256
197,0.0023450565664112867,0.6543534819341404
198,0.004685606876125936,0.7683840904797311
199,9.362648285304341e-05,0.7475985407860923
200,0.07055378151280572,0.6252824492452388
201,0.0037036274093633407,0.7366323978227036
202,0.001127947914870415,0.809937963485875
203,0.011214459141872598,0.685873061859483
204,0.02780732332542587,0.7695783160322152
205,0.050720243447098017,0.6491726693496558
206,0.0004966881821865395,0.9367254354052096
207,0.02380469375602853,0.8380598046265845
208,0.009878036523312055,0.7670156230918672
209,0.0005055418222623629,0.7663999432838278
210,0.002106323740754256,0.8230169370431502
211,0.004107767326681848,0.8169436247395385
212,2.452959588492217e-05,0.9898920268264016
213,0.00021020470578536938,0.9794617202392142
214,0.00012729596735006155,0.9883104056552678
215,7.683603097794003e-06,0.9966292897768023
216,3.4368469381945568e-06,0.9982802797932495
